Cn,#C,#iso,E(6-311G*)(Har),HOMO(eV),LUMO(eV),HOMO-LUMO(eV),dipole-X(D),dipole-Y(D),dipole-Z(D),dipole-Tot(D),E(gas)(Har),E(water)(Har),E(dichlorobenzene)(Har),E_binding(eV),E_atomization(eV),Gsol(water)(kJ/mol),Gsol(dichlorobenzene)(kJ/mol),DDGsol(kJ/mol),logP(dichlorobenzene)
c70,70,11,-2667.34579322,-5.73779,-4.43627,1.30152,2.1702,-0.2896,0.1436,2.1942,-2667.34579322,-2667.36825993,-2667.41666443,-6.774311452865642,-474.202,-58.98634710530723,-186.0723618548693,-127.08601474956208,22.251133645728938
c70,70,254,-2667.55432798,-5.62105,-4.67138,0.949677,-1.3112,0.2186,-0.3166,1.3664,-2667.55432798,-2667.57490024,-2667.62414426,-6.855376004259535,-479.876,-54.012468629686964,-183.3026431398448,-129.29017451015784,22.637053792066073
c70,70,263,-2667.47272276,-5.66296,-4.52961,1.13335,-0.2719,-0.4694,0.497,0.7357,-2667.47272276,-2667.49321201,-2667.54253007,-6.8236532806680374,-477.656,-53.79452587521632,-183.27909240436998,-129.48456652915365,22.671089345095748
c70,70,372,-2667.57336903,-5.69806,-4.4994,1.19866,0.5834,0.2238,-0.5525,0.8341,-2667.57336903,-2667.59376636,-2667.64312553,-6.862777907790239,-480.394,-53.55318991479885,-183.14569075010377,-129.59250083530492,22.68998725983376
c70,70,379,-2667.51596338,-5.69643,-4.34838,1.34805,-0.0635,-0.672,0.0199,0.6753,-2667.51596338,-2667.53609563,-2667.58539235,-6.840462379842988,-478.832,-52.85722237549339,-182.28576073497356,-129.42853835948017,22.661279530115028
c70,70,383,-2667.593626,-5.85943,-4.47301,1.38642,-0.0857,-0.3547,-0.0304,0.3661,-2667.593626,-2667.61349387,-2667.66284849,-6.870652480766139,-480.946,-52.16309268585496,-181.74364749593633,-129.58055481008137,22.687895663804817
c70,70,388,-2667.49395892,-5.69126,-4.45287,1.23839,-0.8204,0.315,0.0507,0.8802,-2667.49395892,-2667.51460363,-2667.56388818,-6.831908498089362,-478.234,-54.20268610484845,-183.59927213054652,-129.39658602569807,22.655685085669827
c70,70,437,-2667.43716109,-5.75303,-4.57995,1.17308,0.7115,0.5446,-0.0262,0.8964,-2667.43716109,-2667.45741707,-2667.50671202,-6.809829250442233,-476.688,-53.182075490004536,-182.60596671587246,-129.42389122586792,22.6604658765334
c70,70,456,-2667.55549673,-5.62214,-4.43654,1.1856,0.7027,0.0277,-0.5225,0.8761,-2667.55549673,-2667.57566065,-2667.62501614,-6.855830337121909,-479.908,-52.940371959892445,-182.52321095469642,-129.58283899480398,22.688295595297156
c70,70,462,-2667.53993553,-5.70677,-4.40988,1.29689,1.1236,0.0217,-0.216,1.1444,-2667.53993553,-2667.56031163,-2667.60960901,-6.849781169601206,-479.485,-53.49745054945902,-182.92772173971684,-129.43027119025783,22.661582926592565
c70,70,687,-2667.60477851,-5.61371,-4.79546,0.818246,-0.7283,0.3851,-0.2761,0.8689,-2667.60477851,-2667.62490737,-2667.67434772,-6.87498784058854,-481.249,-52.84832193029797,-182.6539608545454,-129.80563892424743,22.7273050096381
c70,70,706,-2667.58167085,-5.81426,-4.52253,1.29172,-0.2833,0.3251,0.4958,0.6571,-2667.58167085,-2667.60187295,-2667.65136651,-6.866005107486208,-480.62,-53.04061355001545,-182.9859553299459,-129.94534177993046,22.751765190552728
c70,70,737,-2667.45915623,-5.54105,-4.60743,0.933622,0.4737,-0.6727,-0.1557,0.8373,-2667.45915623,-2667.47999938,-2667.52939125,-6.818379509195037,-477.287,-54.72369032504935,-184.40204500980917,-129.67835468475982,22.705019169379323
c70,70,856,-2667.60501819,-5.64282,-4.66947,0.973351,-1.3488,0.2711,0.3134,1.411,-2667.60501819,-2667.62589022,-2667.6749549,-6.875081012353635,-481.256,-54.799514765502636,-183.61883210524343,-128.8193173397408,22.554612731594975
c70,70,864,-2667.57293866,-5.7865,-4.54729,1.23921,-0.4436,0.0227,0.1633,0.4732,-2667.57293866,-2667.59321285,-2667.64246728,-6.862610608338613,-480.383,-53.229885844427145,-182.54739180947718,-129.31750596505003,22.641839179795294
c70,70,941,-2667.58755466,-5.70813,-4.61587,1.09226,1.0305,-0.095,0.4818,1.1415,-2667.58755466,-2667.60880461,-2667.65782967,-6.868292344482692,-480.78,-55.791743724621256,-184.50703875482168,-128.71529503020042,22.536399757364244
c70,70,1012,-2667.57129015,-5.80745,-4.87655,0.930901,2.0705,0.6346,0.3228,2.1895,-2667.57129015,-2667.592735,-2667.64176358,-6.861969776452297,-480.338,-56.30345367520977,-185.02799046438395,-128.72453678917418,22.538017871005245
c70,70,1077,-2667.52235608,-5.70432,-4.75356,0.950766,-0.1262,0.0501,-0.3633,0.3878,-2667.52235608,-2667.54250854,-2667.59173262,-6.842947439684928,-479.006,-52.910283730499714,-182.14810577031812,-129.2378220398184,22.627887544965617
c70,70,1120,-2667.47707881,-5.65262,-4.8224,0.830219,0.1093,0.3608,0.8345,0.9158,-2667.47707881,-2667.49805606,-2667.54721781,-6.825346625408627,-477.774,-55.07576987556331,-184.1499444998069,-129.0741746242436,22.599234978261805
c70,70,1171,-2667.48709985,-5.81725,-4.839,0.978249,0.5681,-0.8358,0.9521,1.3885,-2667.48709985,-2667.50852664,-2667.55744485,-6.829242144372129,-478.047,-56.25603714520412,-184.6907975002323,-128.43476035502817,22.48728172843069
c70,70,1217,-2667.493169,-5.6314,-4.65641,0.974984,-2.1081,-0.9424,0.0344,2.3094,-2667.493169,-2667.51465536,-2667.56376585,-6.831601429328087,-478.212,-56.41243817980626,-185.35202967533883,-128.93959149553257,22.575671195973797
c70,70,1306,-2667.57902584,-5.56554,-4.70566,0.85988,0.3272,-1.0737,0.548,1.2491,-2667.57902584,-2667.59957163,-2667.64882555,-6.864976902168798,-480.548,-53.9429716441789,-183.25913860406217,-129.31616695988328,22.64160473713867
c70,70,1346,-2667.56604779,-5.50758,-4.42838,1.0792,0.4153,-1.2224,0.0546,1.2922,-2667.56604779,-2667.58679385,-2667.63598063,-6.85993189288007,-480.195,-54.46878052990792,-183.60867142024222,-129.1398908903343,22.610741054853822
c70,70,1380,-2667.59631634,-5.82813,-4.22702,1.60112,0.1188,0.2014,0.1652,0.2863,-2667.59631634,-2667.61576291,-2667.66524486,-6.871698307395887,-481.019,-51.056969534140535,-180.97182925906736,-129.91485972492683,22.746428173092397
c70,70,1403,-2667.56286064,-5.69616,-4.62621,1.06995,0.1604,0.4874,0.1006,0.5229,-2667.56286064,-2667.58317186,-2667.63246908,-6.858692939311892,-480.109,-53.3271081104383,-182.7569592203629,-129.42985110992458,22.661509375906004
c70,70,1462,-2667.62363269,-5.60391,-4.45287,1.15104,-1.5889,0.4167,-0.4172,1.6948,-2667.62363269,-2667.64415709,-2667.69336442,-6.882317101396635,-481.762,-53.8868122008937,-183.08065711515155,-129.19384491425785,22.620187713476437
c70,70,1497,-2667.58015408,-5.68799,-4.60607,1.08192,-1.2215,0.3391,-0.2316,1.2887,-2667.58015408,-2667.60061625,-2667.6499522,-6.865415487416842,-480.579,-53.72342733493019,-183.25496406022785,-129.53153672529766,22.6793132249131
c70,70,1667,-2667.58708296,-5.53316,-4.59355,0.939609,-2.1195,0.0209,0.2742,2.1373,-2667.58708296,-2667.6078176,-2667.65700908,-6.868108978654692,-480.768,-54.438797320598496,-183.5910280605733,-129.1522307399748,22.61290160449463
c70,70,1683,-2667.61286007,-5.8363,-4.45341,1.38288,0.1089,0.6022,0.1915,0.6412,-2667.61286007,-2667.63274609,-2667.6821536,-6.878129417733434,-481.469,-52.210745510749575,-181.93016301584748,-129.7194175050979,22.712208743346324
c70,70,1710,-2667.54314777,-5.9397,-4.46131,1.47839,-1.2119,0.8263,-0.1974,1.48,-2667.54314777,-2667.56368237,-2667.61296779,-6.851029876505271,-479.572,-53.913592300647,-183.31246250987374,-129.39887020922674,22.656085016953124
